# Default glossary of the lotsawa skill (Czech). To change terminology for your project,
# copy this file to the project root and edit the copy; a same-name file there overrides this one.
# ONE glossary for all texts, not split by cycle. Authority: published Czech translations
# (arbitration by comparing variant counts across them). A cycle's folder is a batch of work,
# not a scope for terminology — there is no per-cycle glossary; a term's line records its
# provenance, but validity is always global.
# Columns: tib \t wylie \t target \t stem \t status \t note
#   tib    = Tibetan
#   wylie  = Wylie transliteration
#   target = target-language rendering
#   stem   = shortest invariant prefix used for drift checks; if empty the full target
#            string is used — non-inflecting languages may leave it empty
#   status = fixed = binding, enforced by `lotsawa.py glossary --check`
#            prov  = provisional, sent to translators but not enforced
#            open  = undecided, not sent to translators
#   note   = attestation count or explicit justification; required for fixed
#
# stem: the SHORTEST invariant prefix (Czech palatalizes: pohřebiště/pohřebišť).
#        Terms whose target-language solution is a verb, or legitimately alternates
#        with a paraphrase, belong in prov — they cannot be enforced.
#        The stem must be DISCRIMINATING: it must not also match a rejected variant.
#        For multi-word terms, pick the word that distinguishes the variants — "tvůrc",
#        not "překáž" (that also matches the wrong "překážeči"; this bug survived
#        checks for years because of it).
# TIBETAN KEY must be just as discriminating as the stem: a short syllable also
#        matches its compounds with a different meaning, and `check` then produces
#        noise in every text. Attested twice:
#        ཐུགས (matches thugs rje = compassion, thugs ka = heart) → narrowed to བླ་མའི་ཐུགས;
#        ཐུན (matches thun mong = ordinary, thun mthar = end of session) → to ཐུན་གྱིས.
#        When a syllable has several meanings, key the whole phrase, not the syllable.
# fixed = ATTESTED IN PUBLISHED CZECH TRANSLATIONS; the occurrence count goes in note.
#        Without support in published Czech translations → prov, or fixed with an explicit
#        justification for why the term cannot appear there. Support is verified by
#        grepping, not by impression.
#
# --- jména a klíčové postavy (provenience Pudri Rekpung / Vadžrakilája)
སྤུ་གྲི་རེག་ཕུང	spu gri reg phung	Břitva, jež ničí dotekem	dotek	prov	nikoli „dotykem"; název cyklu
རྡོ་རྗེ་གཞོན་ནུ	rdo rje gzhon nu	Vadžrakumára	Vadžrakumár	fixed	
དཔལ་ཆེན	dpal chen	velký slavný	slavn	fixed	dle vzorů (0/9 shoda s dřívějším „Velkolepý")
འཁོར་ལོ་རྒྱས་འདེབས་མ	'khor lo rgyas 'debs ma	Khorlo Gjedebma	Gjedebm	prov	choť; nepřekládat („Pečetitelka kola" zamítnuto); instrumentál „Gjedebmou"; mimo referenční korpus (0 dokladů — cyklus ve vzorech není)
གཤིན་རྗེ	gshin rje	Jamarádža	Jamarádž	fixed	arbitráž 2/4: 2× Jamarádža, zbytek malé „jama" jako obecné jméno; „Šindže" jen ve fonetickém řádku, ne v češtině; v gshin rje gshed = Jamántaka
ཨོ་རྒྱན	o rgyan	Oddijána	Oddiján	fixed	15× ve vzorech; „Uddijána" 0× — zamítnuto (dřívější konvence skillu byla obrácená)
ཨུ་རྒྱན	u rgyan	Oddijána	Oddiján	fixed	varianta zápisu téhož
རྡོ་རྗེ་འཆང	rdo rje 'chang	Vadžradhara	Vadžradhar	prov	sanskrt, ne „Dordže Čhang" (0×); 2 doklady
ཤཱ་ཀྱ་ཤྲཱི་ཛྙཱ་ན	shAkya shrI dz+nyA na	Šákja Šrí Džňána	Šákja	prov	mimo referenční korpus; kolofon dodatku k Sedmiřádkové modlitbě
#
# --- klíčové termíny
ཕྲིན་ལས	phrin las	osvícená aktivita	aktivit	fixed	bare „aktivita" jen ve výčtu čtyř aktivit | učitel: enlightened activity | Buddha-Aktivität
སྒྲོལ་བ	sgrol ba	osvobození	osvobo	fixed	dle vzorů (0/3 shoda s „vysvobození"); i jako sloveso „osvobodit"
ཐིག་ལེ	thig le	thigle	thigle	fixed	26× ve vzorech vs. „sféra" 6× — rozhodnuto uživatelem 2026-07-28; skloňuje se jako neutrum nesklonné („v bílo-červené thigle") | učitel: [essential] drop, bindu | Essenztropfen, Bindu
དགྲ་བགེགས	dgra bgegs	nepřátelé a tvůrci překážek	tvůrc	fixed	„tvůrci/tvůrce překážek" 11× ve vzorech; „překážeč" 0× — zamítnuto (není české slovo), rovněž ne „překážející síly", ne „protivníci"
བགེགས	bgegs	tvůrci překážek	tvůrc	fixed	samostatně, bez dgra; táž evidence jako dgra bgegs | učitel: hindrance | Hinderer
ངོ་བོ	ngo bo	esence	esenc	fixed	96× ve vzorech vs. „podstata" 4×; „podstata" jen tam, kde by esence v řádku kolidovala | učitel: essence | Essenz
ཐུགས་དམ	thugs dam	posvátný svazek srdce	svaz	prov	v titulech „posvátný svazek srdce"; ve verších naplnění (thugs dam bskang) vzory volí funkční „kéž jsou tvá přání vyplněna" | učitel: heart bonds | die Herzensbande — Plural
སྲིད་ཞི	srid zhi	samsára a nirvána	samsár	fixed	ne „bytí a mír"
ཡེ་ཤེས	ye shes	moudrost	moudrost	fixed	bez „prvotní" | učitel: jñāna, pristine awareness, wisdom | Weisheit
རྒྱལ་བ	rgyal ba	Vítězní	vítězn	fixed	adjektivní tvary 48×: „Vítězný" 25×, „Vítězných" 17×, „Vítězné" 4×, „Vítězní" 2×; nominální „vítězové" 0×, „Vítězům" 0×, „Vítězů" 0× — opraveno 2026-07-28; dřívější české pole bylo nedoložené, i když si toho poznámka sama všímala | učitel: Victorious One, Victorious Ones | Siegreicher, die Siegreichen — Jina
སྲས་བཅས	sras bcas	vítězů i jejich synů	syn	prov	rgyal ba sras bcas; skloňuje se, proto prov
ཆོས་སྐུ	chos sku	dharmakája	dharmakáj	fixed	29×; kája je ženského rodu („ve vrozené dharmakáji") | učitel: dharmakaya, Dharma body | Dharmakaya, Dharma-Körper
སྐུ་གསུམ	sku gsum	tři káje	káj	fixed	„tří kájí" 18×; ženský rod
ཕྱག་རྒྱ	phyag rgya	mudra	mudr	prov	v sku gsung thugs kyi phyag rgya legitimně „pečeť", jinak „mudra"
དུར་ཁྲོད	dur khrod	pohřebiště	pohřebišt	fixed	učitel: charnel ground | Leichenplatz
རིག་འཛིན	rig 'dzin	vidjadhára	vidjadhár	fixed	„vidjadhár*" 19× ve vzorech („vidjádhár*" 5×), „vidjádhar*" 0× — opraveno 2026-07-28; dřívější tvar glosáře byl bez opory a přepisoval správný tvar z banky tripletů | učitel: awareness holder | Gewahrseinshalter — Vidyādhara
